电信IPTV,#genre#
卡酷少儿,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240051_1/encoder/0/playlist.m3u8#http://111.40.205.76/PLTV/88888888/224/3221225654/index.m3u8#http://gslbserv.itv.cmvideo.cn:80/000000001000/7589856436881630561/1.m3u8?channel-id=ystenlive&Contentid=7589856436881630561&livemode=1&stbId=003901FF0001181003FC08A5C8C6C037&userToken=85a5a98cdcab4d800a8ec29a9d917e8d10vv&usergroup=g10045200000&version=1.0&owaccmark=7589856436881630561&owchid=ystenlive&owsid=7951969344461746140
动漫秀场,http://112.50.243.8/PLTV/88888888/224/3221226141/1.m3u8
欢笑剧场,http://112.50.243.8/PLTV/88888888/224/3221226729/1.m3u8
黑莓电影,http://112.50.243.8/PLTV/88888888/224/3221225891/1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226755/index.m3u8
黑莓动画,http://112.50.243.8/PLTV/88888888/224/3221225878/1.m3u8
黑莓电竞,http://112.50.243.8/PLTV/88888888/224/3221226676/1.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225931/1.m3u8
第一财经,http://w1.livecdn.yicai.com/hls/live/CBN_sd/live.m3u8
斗牛财经,http://bohi321.hk77.ok188.top/cibn/cibn.php?id=217
纪实人文,http://hw-stream.kksmg.com/live/jspd49d251f8.m3u8
环球奇观,http://bohi321.hk77.ok188.top/cibn/cibn.php?id=37
求索记录,http://112.17.40.140/PLTV/88888888/224/3221226610/index.m3u8
中国天气,http://223.110.245.157/ott.js.chinamobile.com/PLTV/3/224/3221227438/index.m3u8
中国交通,http://bohi321.hk77.ok188.top/cibn/cibn.php?id=36#http://223.110.245.161/ott.js.chinamobile.com/PLTV/3/224/3221227027/index.m3u8
武侠剧场,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240308_1/encoder/0/playlist.m3u8
动作影院,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240277_1/encoder/0/playlist.m3u8
家庭剧院,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240278_1/encoder/0/playlist.m3u8
喜剧影院,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240276_1/encoder/0/playlist.m3u8
足球,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240309_1/encoder/0/playlist.m3u8
美妆,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240310_1/encoder/0/playlist.m3u8
军事,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240311_1/encoder/0/playlist.m3u8
武术,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240312_1/encoder/0/playlist.m3u8
IPTV3+,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240093_1/encoder/0/playlist.m3u8
IPTV5+,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240094_1/encoder/0/playlist.m3u8
IPTV6+,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240007_1/encoder/0/playlist.m3u8
IPTV8+,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240125_1/encoder/0/playlist.m3u8
IPTV野外,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240095_1/encoder/0/playlist.m3u8
IPTV法治,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240096_1/encoder/0/playlist.m3u8
IPTV收视指南,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240225_1/encoder/0/playlist.m3u8
IPTV热播剧场,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240089_1/encoder/0/playlist.m3u8#http://1.180.237.9/live.aishang.ctlcdn.com/00000110240089_1/encoder/0/playlist.m3u8
IPTV少儿动画,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240092_1/encoder/0/playlist.m3u8
IPTV谍战剧场,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240003_1/encoder/0/playlist.m3u8#http://1.180.237.9/live.aishang.ctlcdn.com/00000110240003_1/encoder/0/playlist.m3u8
IPTV经典电影,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240090_1/encoder/0/playlist.m3u8#http://1.180.237.9/live.aishang.ctlcdn.com/00000110240090_1/encoder/0/playlist.m3u8
IPTV魅力时尚,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240091_1/encoder/0/playlist.m3u8#http://1.180.237.9/live.aishang.ctlcdn.com/00000110240091_1/encoder/0/playlist.m3u8
IPTV相声小品,http://61.189.255.139/live.aishang.ctlcdn.com/00000110240006_1/encoder/0/playlist.m3u8#http://1.180.237.9/live.aishang.ctlcdn.com/00000110240006_1/encoder/0/playlist.m3u8
家庭理财,http://39.134.52.171/wh7f454c46tw3890600769_-1258424671/hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226754/index.m3u8?icpid=88888890&RTS=1581750151&from=1&ocs=2_39.134.52.171_80&hms_devid=57&vqe=3
都市剧场,http://112.17.40.145/PLTV/88888888/224/3221226825/index.m3u8
古装剧场,http://39.134.52.198/wh7f454c46tw3776449771_-1152904102/hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226790/index.m3u8?icpid=88888890&RTS=1581750037&from=1&ocs=2_39.134.52.198_80&hms_devid=838&vqe=3
家庭剧场,http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226740/index.m3u8
家庭影院,http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226723/index.m3u8
大众影视,http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226752/index.m3u8
家庭记录,http://39.134.52.179/wh7f454c46tw3849306387_865328876/hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226798/index.m3u8?icpid=88888890&RTS=1581750110&from=1&ocs=2_39.134.52.179_80&hms_devid=62&vqe=3
卡通剧场,http://39.134.52.179/wh7f454c46tw3867787150_-474459601/hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226717/index.m3u8?icpid=88888890&RTS=1581750128&from=1&ocs=2_39.134.52.179_80&hms_devid=62&vqe=3



IPTV,#genre#
CCTV1,http://101.71.255.229:6610/zjhs/2/10079/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV2,http://101.71.255.229:6610/zjhs/2/10089/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV3,http://101.71.255.229:6610/zjhs/2/10069/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV4,http://101.71.255.229:6610/zjhs/2/10090/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV5+,rtsp://183.58.12.204/PLTV/88888905/224/3221227192/10000100000000060000000000987131_0.smil?icpid=88888888
CCTV6,http://101.71.255.229:6610/zjhs/2/10066/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV7,http://101.71.255.229:6610/zjhs/2/10091/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV8,http://101.71.255.229:6610/zjhs/2/10062/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV9,http://101.71.255.229:6610/zjhs/2/10092/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV10,http://101.71.255.229:6610/zjhs/2/10084/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV11,http://101.71.255.229:6610/zjhs/2/10085/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV12,http://101.71.255.229:6610/zjhs/2/10086/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV13,http://101.71.255.229:6610/zjhs/2/10077/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV14,http://101.71.255.229:6610/zjhs/2/10087/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV15,http://101.71.255.229:6610/zjhs/2/10088/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
湖南卫视,http://140.249.30.171/tlivecloud-cdn.ysp.cctv.cn/001/2000296203.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=072&Provider_id=&Pcontent_id=index.m3u8
东方卫视,http://140.249.30.171/tlivecloud-cdn.ysp.cctv.cn/001/2000292403.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=044&Provider_id=&Pcontent_id=index.m3u8
黑龙江卫视,http://140.249.30.171/tlivecloud-cdn.ysp.cctv.cn/001/2000293903.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=045&Provider_id=&Pcontent_id=index.m3u8
广东卫视,http://140.249.30.171/tlivecloud-cdn.ysp.cctv.cn/001/2000292703.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=004&Provider_id=&Pcontent_id=index.m3u8
深圳卫视,http://140.249.30.171/tlivecloud-cdn.ysp.cctv.cn/001/2000292203.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=002&Provider_id=&Pcontent_id=index.m3u8
江苏卫视,http://140.249.30.171/tlivecloud-cdn.ysp.cctv.cn/001/2000295603.m3u8#http://140.249.30.171/tlivecloud-cdn.ysp.cctv.cn/001/2000295603.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=001&Provider_id=&Pcontent_id=index.m3u8
北京卫视,http://140.249.30.171/tlivecloud-cdn.ysp.cctv.cn/001/2000272103.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=046&Provider_id=&Pcontent_id=index.m3u8
北京卫视,http://140.249.30.171/tlivecloud-cdn.ysp.cctv.cn/001/2000272103.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=046&Provider_id=&Pcontent_id=index.m3u8
海南卫视,http://140.249.30.171/tlivecloud-cdn.ysp.cctv.cn/001/2000291503.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=014&Provider_id=&Pcontent_id=index.m3u8
山东卫视,http://140.249.30.171/tlivecloud-cdn.ysp.cctv.cn/001/2000294803.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=005&Provider_id=&Pcontent_id=index.m3u8
江西卫视,http://140.249.30.171/tlivecloud-cdn.ysp.cctv.cn/001/2000294103.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=048&Provider_id=&Pcontent_id=index.m3u8
湖北卫视,http://140.249.30.171/tlivecloud-cdn.ysp.cctv.cn/001/2000294503.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=054&Provider_id=&Pcontent_id=index.m3u8
河南卫视,http://140.249.30.171/tlivecloud-cdn.ysp.cctv.cn/001/2000296103.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=051&Provider_id=&Pcontent_id=index.m3u8
河北卫视,http://140.249.30.171/tlivecloud-cdn.ysp.cctv.cn/001/2000293403.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=015&Provider_id=&Pcontent_id=index.m3u8
贵州卫视,http://140.249.30.171/tlivecloud-cdn.ysp.cctv.cn/001/2000293303.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=047&Provider_id=&Pcontent_id=index.m3u8
广西卫视,http://140.249.30.171/tlivecloud-cdn.ysp.cctv.cn/001/2000294203.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=053&Provider_id=&Pcontent_id=index.m3u8
广西卫视,http://140.249.30.171/tlivecloud-cdn.ysp.cctv.cn/001/2000294203.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=053&Provider_id=&Pcontent_id=index.m3u8
四川卫视,http://140.249.30.171/tlivecloud-cdn.ysp.cctv.cn/001/2000295003.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=085&Provider_id=&Pcontent_id=index.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=062&Provider_id=&Pcontent_id=index.m3u8
辽宁卫视,http://140.249.30.171/tlivecloud-cdn.ysp.cctv.cn/001/2000281303.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=018&Provider_id=&Pcontent_id=index.m3u8
重庆卫视,http://140.249.30.171/tlivecloud-cdn.ysp.cctv.cn/001/2000297803.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=012&Provider_id=&Pcontent_id=index.m3u8
安徽卫视,http://140.249.30.171/tlivecloud-cdn.ysp.cctv.cn/001/2000298003.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=008&Provider_id=&Pcontent_id=index.m3u8







轮播频道,#genre#
微电影,http://47.240.60.73/Mitv/cibn.php?id=25
精品影院,http://47.240.60.73/Mitv/cibn.php?id=4
经典剧场,http://47.240.60.73/Mitv/cibn.php?id=15
华语影院,http://47.240.60.73/Mitv/cibn.php?id=39
情感影院,http://47.240.60.73/Mitv/cibn.php?id=6
骄阳剧场,http://47.240.60.73/Mitv/cibn.php?id=13
喜剧影院,http://47.240.60.73/Mitv/cibn.php?id=3
动作影院,http://47.240.60.73/Mitv/cibn.php?id=9
院线大片,http://47.240.60.73/Mitv/cibn.php?id=10
古装剧场,http://47.240.60.73/Mitv/cibn.php?id=26
CIBN-喜剧影院,http://stream.guihet.com/tv/cibn.php?id=3
CIBN-精品影院,http://stream.guihet.com/tv/cibn.php?id=4
CIBN-电影导视,http://stream.guihet.com/tv/cibn.php?id=1
CIBN-电影,http://stream.guihet.com/tv/cibn.php?id=2
CIBN-情感影院,http://stream.guihet.com/tv/cibn.php?id=6
CIBN-好莱坞,http://stream.guihet.com/tv/cibn.php?id=8
CIBN-童学世界,http://stream.guihet.com/tv/cibn.php?id=12
CIBN-军事,http://stream.guihet.com/tv/cibn.php?id=14
CIBN-综合,http://stream.guihet.com/tv/cibn.php?id=18
CIBN-真人秀,http://stream.guihet.com/tv/cibn.php?id=17
CIBN-院线大片,http://stream.guihet.com/tv/cibn.php?id=10
CIBN-炫佳动漫,http://stream.guihet.com/tv/cibn.php?id=19
CIBN-汽车,http://stream.guihet.com/tv/cibn.php?id=21
CIBN-风尚运动,http://stream.guihet.com/tv/cibn.php?id=16
CIBN-纪录片,http://stream.guihet.com/tv/cibn.php?id=22
CIBN-文旅中国,http://stream.guihet.com/tv/cibn.php?id=23
CIBN-健康,http://stream.guihet.com/tv/cibn.php?id=24
CIBN-微电影,http://stream.guihet.com/tv/cibn.php?id=25
CIBN-艺术院线,http://stream.guihet.com/tv/cibn.php?id=32
CIBN-嗨播,http://stream.guihet.com/tv/cibn.php?id=31
CIBN-中国交通,http://stream.guihet.com/tv/cibn.php?id=36
CIBN-嗨播7,http://stream.guihet.com/tv/cibn.php?id=149
CIBN-嗨播7,http://stream.guihet.com/tv/cibn.php?id=149
CIBN-CIBN2,http://stream.guihet.com/tv/cibn.php?id=164
CIBN-CIBN2,http://stream.guihet.com/tv/cibn.php?id=164
CIBN-CIBN2,http://stream.guihet.com/tv/cibn.php?id=164
CIBN-CIBN2,http://stream.guihet.com/tv/cibn.php?id=164
CIBN-CIBN2,http://stream.guihet.com/tv/cibn.php?id=164
CIBN-CIBN2,http://stream.guihet.com/tv/cibn.php?id=164
CIBN-CIBN2,http://stream.guihet.com/tv/cibn.php?id=164
CIBN-CIBN2,http://stream.guihet.com/tv/cibn.php?id=164
CIBN-嗨播8,http://stream.guihet.com/tv/cibn.php?id=183
CIBN-嗨播8,http://stream.guihet.com/tv/cibn.php?id=183
CIBN-嗨播8,http://stream.guihet.com/tv/cibn.php?id=183
CIBN-嗨播9,http://stream.guihet.com/tv/cibn.php?id=193
CIBN-嗨播10,http://stream.guihet.com/tv/cibn.php?id=205
CIBN-嗨播11,http://stream.guihet.com/tv/cibn.php?id=209
CIBN-CIBN3,http://stream.guihet.com/tv/cibn.php?id=212
CIBN-CIBN4,http://stream.guihet.com/tv/cibn.php?id=217
亮剑,http://tx.hls.huya.com/huyalive/30765679-2475713500-10633108516765696000-2789274576-10057-A-0-1_1200.m3u8
雪豹,http://aldirect.hls.huya.com/huyalive/29169025-2686221276-11537232530239389696-2777027178-10057-A-1524213244-1_1200.m3u8
潜伏,http://aldirect.hls.huya.com/huyalive/29141112-2689670234-11552045692054667264-3048959590-10057-A-1525515454-1_1200.m3u8
风云,http://aldirect.hls.huya.com/huyalive/30765679-2481506528-10657989382570508288-2789274552-10057-A-0-1_1200.m3u8
战雷,http://aldirect.hls.huya.com/huyalive/28466698-2689654432-11551977822981455872-2847687622-10057-A-1525510118-1_1200.m3u8
济公,http://aldirect.hls.huya.com/huyalive/29169025-2686221242-11537232384210501632-2847687560-10057-A-0-1_1200.m3u8
老友记 (美国),http://aldirect.hls.huya.com/huyalive/29169025-2686220018-11537227127170531328-2847699120-10057-A-1524041208-1_1200.m3u8
大长今,http://aldirect.hls.huya.com/huyalive/30765679-2533158964-10879834905949241344-2847687638-10057-A-0-1_1200.m3u8#http://aldirect.hls.huya.com/huyalive/30765679-2554414808-10971128060778119168-3048959636-10057-A-0-1_1200.m3u8
封神榜,http://aldirect.hls.huya.com/huyalive/30765679-2523427569-10838038882679783424-2789253886-10057-A-0-1_1200.m3u8
篮球火,http://aldirect.hls.huya.com/huyalive/30765679-2682197822-11519951926892429312-2847699094-10057-A-0-1_1200.m3u8
伪装者,http://js.hls.huya.com/huyalive/30765679-2554414866-10971128309886222336-3049003164-10057-A-0-1_1200.m3u8
宝莲灯,http://aldirect.hls.huya.com/huyalive/30765679-2525901744-10848665383389364224-2847699200-10057-A-0-1_1200.m3u8
侠客行,http://aldirect.hls.huya.com/huyalive/30765679-2554414889-10971128408670470144-3048991640-10057-A-0-1_1200.m3u8
新三国,http://aldirect.hls.huya.com/huyalive/30765679-2523417353-10837995005293887488-2847699118-10057-A-0-1_1200.m3u8
勇敢的心,http://aldirect.hls.huya.com/huyalive/94525224-2604793662-11187503591118077952-3048991612-10057-A-0-1_1200.m3u8
热血高校,http://txdirect.hls.huya.com/huyalive/29169025-2686219818-11537226268177072128-2789253878-10057-A-0-1_1200.m3u8
麻辣女兵,http://aldirect.hls.huya.com/huyalive/94525224-2583571852-11096356611206152192-2847687652-10057-A-0-1_1200.m3u8
士兵突击,http://aldirect.hls.huya.com/huyalive/94525224-2579683622-11079656790516826112-2789274566-10057-A-1521167951-1_1200.m3u8
火蓝刀锋,http://ws4.streamhls.huya.com/backsrc/94525224-2672445369-11478065460201652224-2777037926-10057-A-0-1_1200/playlist.m3u8
特警力量,http://aldirect.hls.huya.com/huyalive/29141112-2689671100-11552049411496345600-3048959608-10057-A-0-1_1200.m3u8
雪山飞狐-黄日华版,http://aldirect.hls.huya.com/huyalive/29169025-2686220976-11537231241749200896-2847699180-10057-A-0-1_1200.m3u8
重案六组,http://aldirect.hls.huya.com/huyalive/30765679-2523416621-10837991861377826816-2777027388-10057-A-0-1_1200.m3u8
魔幻手机,http://aldirect.hls.huya.com/huyalive/29169025-2686220680-11537229970438881280-2847687524-10057-A-0-1_1200.m3u8
终极三国,http://aldirect.hls.huya.com/huyalive/30765679-2480428944-10653361194531815424-2789274554-10057-A-0-1_1200.m3u8
步步惊心,http://aldirect.hls.huya.com/huyalive/29169025-2686221544-11537233681290625024-2847687612-10057-A-1523933320-1_1200.m3u8
还珠格格,http://tx.hls.huya.com/huyalive/30765679-2523417093-10837993888602390528-2789274530-10057-A-0-1_1200.m3u8
爱情公寓,http://ws4.streamhls.huya.com/huyalive/30765679-2523417493-10837995606589308928-2777071594-10057-A-0-1_1200/playlist.m3u8
屌丝男士,http://aldirect.hls.huya.com/huyalive/29106097-2689285720-11550394216999813120-2789274540-10057-A-0-1_1200.m3u8
龙门镖局,http://aldirect.hls.huya.com/huyalive/29106097-2689454638-11551119714285518848-2847687516-10057-A-0-1_1200.m3u8
医馆笑传,http://txdirect.hls.huya.com/huyalive/29359996-2689637846-11551906586653884416-2847687566-10057-A-0-1_1200.m3u8
家有儿女,http://aldirect.hls.huya.com/huyalive/29169025-2686221252-11537232427160174592-2847687508-10057-A-0-1_1200.m3u8
宫锁心玉,http://aldirect.hls.huya.com/huyalive/30765679-2484192604-10669525991145078784-3049003162-10057-A-0-1_1200.m3u8
古剑奇谭,http://aldirect.hls.huya.com/huyalive/29141112-2689670670-11552047564660408320-2847687630-10057-A-0-1_1200.m3u8
大男当婚,http://aldirect.hls.huya.com/huyalive/29106097-2689278568-11550363499393712128-2710090468-10057-A-0-1_1200.m3u8
康熙王朝,http://aldirect.hls.huya.com/huyalive/29141112-2691519968-11559990239090966528-3049003118-10057-A-0-1_1200.m3u8
雍正王朝,http://js.hls.huya.com/huyalive/29359996-2689277426-11550358594541060096-2847699098-10057-A-0-1_1200.m3u8
大秦帝国,http://aldirect.hls.huya.com/huyalive/30765679-2554414808-10971128060778119168-3048959636-10057-A-0-1_1200.m3u8
三国演义,http://aldirect.hls.huya.com/huyalive/29169025-2686221140-11537231946123837440-3049003146-10057-A-0-1_1200.m3u8
天外飞仙-胡歌版,http://aldirect.hls.huya.com/huyalive/29106097-2689283558-11550384931280519168-2789274528-10057-A-1525418694-1_1200.m3u8
天龙八部-胡军版,http://tx.hls.huya.com/huyalive/30765679-2475713428-10633108207528050688-3048991608-10057-A-0-1_1200.m3u8
天龙八部,http://aldirect.hls.huya.com/huyalive/30765679-2523417506-10837995662423883776-2777071322-10057-A-0-1_1200.m3u8
神雕侠侣-古天乐版,http://aldirect.hls.huya.com/huyalive/29359996-2689607114-11551774593718943744-2847687530-10057-A-1525492553-1_1200.m3u8
新水浒传,http://aldirect.hls.huya.com/huyalive/30765679-2523417567-10837995924416888832-2789253832-10057-A-0-1_1200.m3u8
生活大爆炸,http://aldirect.hls.huya.com/huyalive/29169025-2686221732-11537234488744476672-2847699168-10057-A-0-1_1200.m3u8
温柔的谎言,http://aldirect.hls.huya.com/huyalive/29359996-2689613622-11551802545366106112-2847687550-10057-A-0-1_1200.m3u8#http://aldirect.hls.huya.com/huyalive/29359996-2689613622-11551802545366106112-2847687550-10057-A-0-1_1200.m3u8
机灵小不懂,http://aldirect.hls.huya.com/huyalive/94525224-2472045388-10617354095687630848-2847687664-10057-A-1526356723-1_1200.m3u8
西游记-86版,http://aldirect.hls.huya.com/huyalive/29141112-2689673336-11552059015043219456-3048991588-10057-A-0-1_1200.m3u8
西游记-张卫健版,http://aldirect.hls.huya.com/huyalive/30765679-2550665260-10955023874743336960-2789253862-10057-A-0-1_1200.m3u8
鹿鼎记-陈小春版,http://aldirect.hls.huya.com/huyalive/94525224-2701055008-11600942924057018368-2847687618-10057-A-0-1_1200.m3u8
射雕英雄传-张智霖,http://aldirect.hls.huya.com/huyalive/30765679-2686220976-11537231241749200896-3049003126-10057-A-0-1_1200.m3u8
乌龙闯情关,http://aldirect.hls.huya.com/huyalive/30765679-2554414938-10971128619123867648-3048959644-10057-A-0-1_1200.m3u8
少年包青天,http://aldirect.hls.huya.com/huyalive/30765679-2534694464-10886429828232249344-2789253856-10057-A-0-1_1200.m3u8
少年张三丰,http://aldirect.hls.huya.com/huyalive/94525224-2472045388-10617354095687630848-2847687664-10057-A-1526356723-1_1200.m3u8
神探狄仁杰,http://aldirect.hls.huya.com/huyalive/29106097-2689283558-11550384931280519168-2789274528-10057-A-1525418694-1_1200.m3u8#http://101.72.196.41/r/baiducdnct.inter.iqiyi.com/tslive/c16_lb_shentandirenjie_1080p_t10/c16_lb_shentandirenjie_1080p_t10.m3u8
隋唐英雄传,http://aldirect.hls.huya.com/huyalive/29359996-2689637532-11551905238034153472-2847687564-10057-A-0-1_1200.m3u8
大唐双龙传,http://aldirect.hls.huya.com/huyalive/94525224-2583262930-11095029801319137280-3048959664-10057-A-0-1_1200.m3u8
大宋提刑官,http://aldirect.hls.huya.com/huyalive/29141112-2525901554-10848664567345577984-2847687634-10057-A-0-1_1200.m3u8
李小龙传奇,http://aldirect.hls.huya.com/huyalive/28466698-2686637732-11539021195139612672-3048959574-10057-A-1524196077-1_1200.m3u8
倚天屠龙记-吴启华版,http://aldirect.hls.huya.com/huyalive/30765679-2523417175-10837994240789708800-2789253884-10057-A-0-1_1200.m3u8
我是特种兵,http://tx.hls.huya.com/huyalive/30765679-2497296332-10725806074360758272-2789253834-10057-A-0-1_1200.m3u8
民兵葛二蛋,http://aldirect.hls.huya.com/huyalive/30765679-2675956786-11493146881379270656-3049003120-10057-A-0-1_1200.m3u8
咱们结婚吧,http://aldirect.hls.huya.com/huyalive/29106097-2689287372-11550401312285786112-2789253858-10057-A-0-1_1200.m3u8
远去的飞鹰,http://aldirect.hls.huya.com/huyalive/29169025-2686221528-11537233612571148288-2847687610-10057-A-1523932939-1_1200.m3u8
情深深雨濛濛,http://al.hls.huya.com/huyalive/94525224-2583571812-11096356439407460352-2847687552-10057-A-0-1_1200.m3u8
轩辕剑之天之痕,http://aldirect.hls.huya.com/huyalive/28466698-2689663056-11552014862779416576-3048959692-10057-A-0-1_1200.m3u8
铁齿铜牙纪晓岚,http://aldirect.hls.huya.com/huyalive/94525224-2468571348-10602433207502635008-2789253864-10057-A-0-1_1200.m3u8
我的兄弟叫顺溜,http://ws.streamhls.huya.com/huyalive/30765679-2523205260-10837084072795176960-2789274532-10057-A-0-1_1200/playlist.m3u8
外来媳妇本地郎,http://aldirect.hls.huya.com/huyalive/30765679-2554414910-10971128498864783360-3049003166-10057-A-0-1_1200.m3u8
大唐双龙传-林峰版,http://al.hls.huya.com/huyalive/1444264131-1444264131-6203067209430859776-2884953448-10057-A-0-1_1200.m3u8
热播电视剧,http://101.72.196.41/r/baiducdnct.inter.iqiyi.com/tslive/c15_lb_reboju_1080p_t10/c15_lb_reboju_1080p_t10.m3u8
家庭剧场,http://101.72.196.41/r/baiducdnct.inter.iqiyi.com/tslive/c15_lb_jiatingjuchang_1080p_t10/c15_lb_jiatingjuchang_1080p_t10.m3u8
情景喜剧,http://101.72.196.41/r/baiducdnct.inter.iqiyi.com/tslive/c16_lb_kaixinjuchang_1080p_t10/c16_lb_kaixinjuchang_1080p_t10.m3u8
宫廷正剧,http://101.72.196.41/r/baiducdnct.inter.iqiyi.com/tslive/c15_lb_niandaijuchang_1080p_t10/c15_lb_niandaijuchang_1080p_t10.m3u8
经典重温,http://101.72.196.41/r/baiducdnct.inter.iqiyi.com/tslive/c16_lb_jingdianjuchang_1080p_t10/c16_lb_jingdianjuchang_1080p_t10.m3u8
收视冠军,http://101.72.196.41/r/baiducdnct.inter.iqiyi.com/tslive/c15_lb_dajuchongwen_1080p_t10/c15_lb_dajuchongwen_1080p_t10.m3u8
